Removed Pin From Net: NetName=V+5D Pin=R?-2
Change Component Footprint: Designator=JP? Old Footprint=HDR1X17 New Footprint=Ts1x17
Added Component: Designator=Ub1(987-01)
Added Pin To Net: NetName=PA7 Pin=R?-1
Added Pin To Net: NetName=DGND Pin=R?-2
Added Pin To Net: NetName=V+5D Pin=R?-2
Added Pin To Net: NetName=PWM3 Pin=Ub1-1
Added Pin To Net: NetName=PWM2 Pin=Ub1-2
Added Pin To Net: NetName=PWM1 Pin=Ub1-3
Added Pin To Net: NetName=PWM0 Pin=Ub1-4
Added Pin To Net: NetName=PT0 Pin=Ub1-9
Added Pin To Net: NetName=PT1 Pin=Ub1-10
Added Pin To Net: NetName=PT2 Pin=Ub1-11
Added Pin To Net: NetName=PT3 Pin=Ub1-12
Added Pin To Net: NetName=NetCb7_2 Pin=Ub1-13
Added Pin To Net: NetName=DGND Pin=Ub1-14
Added Pin To Net: NetName=PT4 Pin=Ub1-15
Added Pin To Net: NetName=PT5 Pin=Ub1-16
Added Pin To Net: NetName=PT6 Pin=Ub1-17
Added Pin To Net: NetName=PT7 Pin=Ub1-18
Added Pin To Net: NetName=PJ1 Pin=Ub1-21
Added Pin To Net: NetName=PJ0 Pin=Ub1-22
Added Pin To Net: NetName=BKGD Pin=Ub1-23
Added Pin To Net: NetName=PB0 Pin=Ub1-24
Added Pin To Net: NetName=PB1 Pin=Ub1-25
Added Pin To Net: NetName=PB2 Pin=Ub1-26
Added Pin To Net: NetName=PB3 Pin=Ub1-27
Added Pin To Net: NetName=PB4 Pin=Ub1-28
Added Pin To Net: NetName=PB5 Pin=Ub1-29
Added Pin To Net: NetName=PB6 Pin=Ub1-30
Added Pin To Net: NetName=PB7 Pin=Ub1-31
Added Pin To Net: NetName=PH7 Pin=Ub1-32
Added Pin To Net: NetName=PH6 Pin=Ub1-33
Added Pin To Net: NetName=PH5 Pin=Ub1-34
Added Pin To Net: NetName=PH4 Pin=Ub1-35
Added Pin To Net: NetName=NetRb5_2 Pin=Ub1-36
Added Pin To Net: NetName=NetRb6_2 Pin=Ub1-37
Added Pin To Net: NetName=NetRb7_2 Pin=Ub1-38
Added Pin To Net: NetName=DGND Pin=Ub1-40
Added Pin To Net: NetName=V+5D Pin=Ub1-41
Added Pin To Net: NetName=RST Pin=Ub1-42
Added Pin To Net: NetName=VDDPLL Pin=Ub1-43
Added Pin To Net: NetName=XFC Pin=Ub1-44
Added Pin To Net: NetName=EXTAL Pin=Ub1-46
Added Pin To Net: NetName=XTAL Pin=Ub1-47
Added Pin To Net: NetName=DGND Pin=Ub1-48
Added Pin To Net: NetName=PH3 Pin=Ub1-49
Added Pin To Net: NetName=PH2 Pin=Ub1-50
Added Pin To Net: NetName=PH1 Pin=Ub1-51
Added Pin To Net: NetName=PH0 Pin=Ub1-52
Added Pin To Net: NetName=NetRb8_2 Pin=Ub1-55
Added Pin To Net: NetName=NetRb9_2 Pin=Ub1-56
Added Pin To Net: NetName=PA0 Pin=Ub1-57
Added Pin To Net: NetName=PA1 Pin=Ub1-58
Added Pin To Net: NetName=PA2 Pin=Ub1-59
Added Pin To Net: NetName=PA3 Pin=Ub1-60
Added Pin To Net: NetName=PA4 Pin=Ub1-61
