"Bill of Material for ziban.PrjPCB"
"On 2008-4-5 at 9:25:28"

"Comment","Pattern","Quantity","Components"

"3.3k","CR2012-0805","12","R20, R21, R22, R23, R24, R25, R26, R30, R31, R38, R39, R40",""
"470","CR2012-0805","2","R33, R34",""
"Cap Pol2","C3216-1206-TA-YX1","1","C31","Polarized Capacitor (Axial)"
"Cap Pol2","CR6332-2512","1","C29","Polarized Capacitor (Axial)"
"Cap","CR2012-0805","21","C1, C2, C3, C4, C5, C6, C7, C8, C15, C16, C17, C18, C19, C22, C23, C24, C25, C26, C30, C32, Cb6","Capacitor"
"CON3X2-B1","HDR2X3","1","JP11","Header, 6-Pin, Dual row"
"Header 17","Ts1x17","1","JP1","Header, 17-Pin"
"Header 2","HDR1X2","7","J3, J4, J5, J6, J7, J9, JP2","Header, 2-Pin"
"Header 3","HDR1X3","1","J8","Header, 3-Pin"
"Header 4","HDR1X4","1","J10","Header, 4-Pin"
"LED1","CR2012-0805","1","DSb1","Typical RED GaAs LED"
"LM1881M","SO-8","2","U2, U3","Video Sync Separator"
"MC9S12DG128BCPV","987-01","1","Ub1","16-Bit Microcontroller"
"PAD-YX1","PAD-TEST-YX1","13","PAD1, PAD2, PAD3, PAD4, PAD5, PAD6, PAD7, PAD8, PAD9, PAD10, PAD11, PAD12, PAD13","Electrical Bell"
"Res2","CR2012-0805","1","R35","Resistor"
"Res3","CR2012-0805","6","R2, R3, R5, R6, R36, R37","Resistor"
"RESP4_YX1","RP4_YX1","1","RP1","Resistor"
"SW-PB-B1","SW2-4-B1","1","Sb1","Switch"
"XTAL","XYT","1","Yb1","Crystal Oscillator"
